Cooperation Rate,Opponent Cooperation Rate,Last Move,Opponent Last Move,Penultimate Move,Opponent Penultimate Move,Penultimate + 1 Move,Opponent Penultimate + 1 Move,Copy Rate
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.96,0.97,C,C,C,C,C,C,0.9693877551020408
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.26,0.27,C,D,D,D,D,D,0.47959183673469385
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.64,0.73,C,C,C,C,C,C,0.7244897959183674
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.4,0.38,C,D,D,D,D,D,0.6020408163265306
1.0,1.0,C,C,C,C,C,C,1.0
0.26,0.27,C,D,D,D,D,D,0.47959183673469385
1.0,1.0,C,C,C,C,C,C,1.0
0.29,0.32,D,C,C,D,D,D,0.5408163265306123
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.44,0.5,C,C,C,C,D,D,0.6122448979591837
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.95,0.96,C,C,C,C,C,C,0.9693877551020408
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.98,D,C,D,C,D,C,0.01020408163265306
0.29,0.16,D,D,D,C,C,D,0.5510204081632653
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.99,C,C,C,C,C,C,1.0
0.66,0.68,D,C,D,C,D,D,0.826530612244898
0.28,0.61,D,D,D,C,D,D,0.6428571428571429
0.26,0.26,D,C,C,D,D,D,0.4897959183673469
0.34,0.04,D,D,C,D,D,D,0.6632653061224489
0.95,0.94,C,C,C,C,C,C,0.9693877551020408
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.5,C,C,C,C,D,D,0.5612244897959183
0.34,0.5,D,D,C,D,C,C,0.5918367346938775
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.04,0.98,D,C,D,C,D,C,0.05102040816326531
0.34,0.0,D,D,C,D,D,D,0.6632653061224489
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.22,0.19,D,D,D,D,D,C,0.6020408163265306
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.03,0.97,D,C,D,C,D,C,0.01020408163265306
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.02,C,D,D,D,D,D,0.6428571428571429
0.29,0.95,D,C,D,D,D,C,0.336734693877551
0.41,0.54,C,D,D,D,D,D,0.6224489795918368
1.0,1.0,C,C,C,C,C,C,1.0
0.31,0.21,C,D,D,D,D,D,0.5714285714285714
0.29,0.17,C,D,D,D,D,D,0.5612244897959183
0.35,0.27,D,C,D,C,C,D,0.6020408163265306
0.3,0.14,C,D,D,D,D,D,0.5816326530612245
0.33,0.13,D,D,D,C,C,D,0.6224489795918368
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.32,0.31,D,D,D,D,D,C,0.5816326530612245
0.36,0.25,D,D,D,C,D,C,0.6122448979591837
0.36,0.41,D,D,D,D,D,C,0.6020408163265306
0.02,0.98,D,C,D,C,D,C,0.030612244897959183
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.09,D,D,C,D,D,D,0.6530612244897959
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.97,D,C,D,C,D,C,0.02040816326530612
0.33,0.3,C,D,D,D,D,D,0.5918367346938775
0.34,0.09,D,D,C,D,D,D,0.6530612244897959
0.35,0.08,C,D,D,D,D,D,0.6530612244897959
0.33,0.03,D,D,C,D,D,D,0.6632653061224489
0.34,0.03,D,D,C,D,D,D,0.673469387755102
0.34,0.06,D,D,C,D,D,D,0.6632653061224489
0.33,0.1,D,D,C,D,D,D,0.6530612244897959
0.33,0.07,C,D,D,D,D,D,0.6428571428571429
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.95,0.95,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.39,0.38,C,D,D,C,D,D,1.0
0.01,0.0,D,D,D,D,D,D,1.0
1.0,0.99,C,C,C,C,C,C,1.0
0.04,0.5,D,C,D,D,D,C,0.5306122448979592
1.0,1.0,C,C,C,C,C,C,1.0
0.61,0.86,C,C,C,C,C,C,0.7448979591836735
0.46,0.55,C,C,D,C,D,D,0.8979591836734694
1.0,1.0,C,C,C,C,C,C,1.0
0.96,0.96,C,C,C,C,C,C,1.0
0.05,0.15,D,D,D,D,D,D,0.8877551020408163
0.99,0.98,C,D,C,C,C,C,1.0
0.01,0.04,D,D,D,C,D,D,0.9591836734693877
0.47,0.52,D,D,C,D,C,C,0.9489795918367347
0.04,0.04,D,D,D,D,D,D,0.9897959183673469
0.02,0.27,D,D,D,D,D,D,0.7448979591836735
0.95,0.93,C,C,C,C,C,C,0.9795918367346939
1.0,1.0,C,C,C,C,C,C,1.0
0.97,0.97,C,C,D,C,C,D,1.0
0.02,0.01,D,D,D,D,D,D,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.93,0.98,C,C,C,C,C,C,0.9489795918367347
1.0,1.0,C,C,C,C,C,C,1.0
0.06,0.84,D,C,D,C,D,C,0.21428571428571427
0.05,0.75,D,C,D,C,D,C,0.2857142857142857
0.05,0.67,D,C,D,C,D,C,0.3673469387755102
0.05,0.67,D,D,D,C,D,C,0.3673469387755102
0.66,0.5,C,D,C,C,C,D,0.8367346938775511
